"Plazo","Tasa.Nominal"
1,7.05
2,7.05
3,7.05
4,7.05
5,7.05
6,7.05
7,7.05
8,7.05
9,7.05
10,7.05
11,7.05
12,7.05
13,7.05
14,7.05
15,7.05
16,7.051108
17,7.053965
18,7.057872
19,7.062128
20,7.066035
21,7.068892
22,7.07
23,7.07
24,7.07
25,7.07
26,7.07
27,7.07
28,7.07
29,7.07
30,7.072362
31,7.078552
32,7.08723
33,7.097055
34,7.106686
35,7.114781
36,7.12
37,7.122828
38,7.124801
39,7.126152
40,7.127114
41,7.12792
42,7.128805
43,7.13
44,7.130845
45,7.130914
46,7.130787
47,7.13105
48,7.132284
49,7.135073
50,7.14
51,7.147055
52,7.155491
53,7.164781
54,7.174402
55,7.183829
56,7.192536
57,7.2
58,7.207114
59,7.214733
60,7.222274
61,7.229155
62,7.234791
63,7.238601
64,7.24
65,7.24
66,7.24
67,7.24
68,7.24
69,7.24
70,7.24
71,7.24
72,7.239125
73,7.236812
74,7.233528
75,7.229738
76,7.225909
77,7.222507
78,7.22
79,7.218047
80,7.216074
81,7.214198
82,7.212536
83,7.211205
84,7.210321
85,7.21
86,7.211481
87,7.215185
88,7.22
89,7.224815
90,7.228519
91,7.23
92,7.23
93,7.23
94,7.23
95,7.23
96,7.23
97,7.23
98,7.23
99,7.23
100,7.230123
101,7.23049
102,7.231099
103,7.231948
104,7.233034
105,7.234356
106,7.23591
107,7.237695
108,7.239709
109,7.241948
110,7.244411
111,7.247096
112,7.25
113,7.253355
114,7.257251
115,7.261474
116,7.26581
117,7.270045
118,7.273965
119,7.277354
120,7.28
121,7.28188
122,7.283258
123,7.284344
124,7.28535
125,7.286487
126,7.287966
127,7.29
128,7.292636
129,7.295714
130,7.299133
131,7.302789
132,7.306582
133,7.310408
134,7.314167
135,7.317755
136,7.321071
137,7.324014
138,7.32648
139,7.328367
140,7.329575
141,7.33
142,7.329708
143,7.328892
144,7.327638
145,7.326035
146,7.324169
147,7.322128
148,7.32
149,7.317872
150,7.315831
151,7.313965
152,7.312362
153,7.311108
154,7.310292
155,7.31
156,7.310292
157,7.311108
158,7.312362
159,7.313965
160,7.315831
161,7.317872
162,7.32
163,7.322128
164,7.324169
165,7.326035
166,7.327638
167,7.328892
168,7.329708
169,7.33
170,7.329663
171,7.328726
172,7.327296
173,7.325485
174,7.3234
175,7.321152
176,7.318848
177,7.3166
178,7.314515
179,7.312704
180,7.311274
181,7.310337
182,7.31
183,7.31
184,7.309854
185,7.309446
186,7.308819
187,7.308017
188,7.307085
189,7.306064
190,7.305
191,7.303936
192,7.302915
193,7.301983
194,7.301181
195,7.300554
196,7.300146
197,7.3
198,7.300011
199,7.300042
200,7.300094
201,7.300165
202,7.300256
203,7.300366
204,7.300495
205,7.300641
206,7.300806
207,7.300987
208,7.301185
209,7.301399
210,7.30163
211,7.301875
212,7.302135
213,7.30241
214,7.302699
215,7.303001
216,7.303316
217,7.303644
218,7.303984
219,7.304336
220,7.304699
221,7.305073
222,7.305457
223,7.305851
224,7.306254
225,7.306667
226,7.307088
227,7.307516
228,7.307953
229,7.308397
230,7.308847
231,7.309303
232,7.309766
233,7.310233
234,7.310706
235,7.311183
236,7.311663
237,7.312148
238,7.312635
239,7.313125
240,7.313617
241,7.314111
242,7.314606
243,7.315101
244,7.315597
245,7.316093
246,7.316589
247,7.317083
248,7.317575
249,7.318066
250,7.318554
251,7.31904
252,7.319522
253,7.32
254,7.320488
255,7.320998
256,7.321529
257,7.32208
258,7.32265
259,7.323237
260,7.323841
261,7.324461
262,7.325094
263,7.325741
264,7.3264
265,7.32707
266,7.327749
267,7.328437
268,7.329133
269,7.329835
270,7.330542
271,7.331253
272,7.331967
273,7.332682
274,7.333398
275,7.334114
276,7.334828
277,7.335539
278,7.336247
279,7.336949
280,7.337645
281,7.338333
282,7.339013
283,7.339684
284,7.340344
285,7.340991
286,7.341626
287,7.342246
288,7.342852
289,7.34344
290,7.344011
291,7.344564
292,7.345096
293,7.345607
294,7.346097
295,7.346563
296,7.347004
297,7.34742
298,7.347809
299,7.34817
300,7.348503
