I,Fondo,TV,Emisora,Serie,Títulos,Costo Total,Precio
D,+CIPLUS,BI,CETES,180621,200000,1873253.6,9.474301
D,+CIPLUS,BI,CETES,180118,100000,965015.4,9.75976
D,+CIPLUS,93,PDN,117,40000,4000000,99.999128
D,+CIPLUS,93,GMFIN,3317,30000,2999930.39,99.999894
D,+CIPLUS,93,CHDRAUI,2017,14588,1458777.43,99.999894
D,+CIPLUS,91,DAIMLER,17-2,30000,3000000,99.999267
D,+CIPLUS,IQ,BPAG91,191219,100000,9964473.73,99.710331
D,+CIPLUS,0,CASITA,*,3153,0,0.000001
D,+CIPLUS,BI,CETES,180816,500000,4660261.5,9.374524
D,+CIPLUS,CD,NAFR,190417,12518,1251317.18,99.988354
R,+CIPLUS,BI,CETES,170928,1,9.97,9.971961
R,+CIPLUS,LD,BONDESD,210121,129858,12942156.11,99.683511
 ,+CIPLUS, ,TOTALES, ,1160118,43115195.31, 
D,+CIGUB,LD,BONDESD,181011,1400000,139868281,99.905689
D,+CIGUB,LD,BONDESD,180614,2000000,199744944,99.940996
D,+CIGUB,LD,BONDESD,180419,3000000,299783664.7,99.954358
D,+CIGUB,LD,BONDESD,171221,1000000,99970907.56,99.986351
D,+CIGUB,IS,BPA182,180104,500000,49997178.5,99.98764
D,+CIGUB,IQ,BPAG91,191219,1600000,159428554.4,99.710331
D,+CIGUB,BI,CETES,180816,4500000,41942353.5,9.374524
D,+CIGUB,LD,BONDESD,190328,1350000,134559337.1,99.812135
D,+CIGUB,LD,BONDESD,210520,455531,45280285.88,99.5143
D,+CIGUB,LD,BONDESD,191226,500000,49815403.5,99.701033
D,+CIGUB,LD,BONDESD,190627,101562,10118138.73,99.770752
D,+CIGUB,LD,BONDESD,190606,35088,3494328.62,99.779347
R,+CIGUB,LD,BONDESD,181011,4569723,456526074.5,99.921999
R,+CIGUB,LD,BONDESD,180628,930743,92903398.83,99.836013
R,+CIGUB,IQ,BPAG91,201224,1681810,169096600.9,100.564188
R,+CIGUB,BI,CETES,170928,3,29.92,9.975295
R,+CIGUB,LD,BONDESD,191226,10604364,1058647363,99.850926
 ,+CIGUB, ,TOTALES, ,34228824,3011176845, 
D,+CIBOLS,1,RASSINI,CPO,76000,6586676,79.07
D,+CIBOLS,1,OMA,B,71026,7126472.75,103.57
D,+CIBOLS,1,MEXCHEM,*,131382,6400802.64,48.54
D,+CIBOLS,1,GAP,B,38844,7003323.83,188.91
D,+CIBOLS,1,FEMSA,UBD,35700,6260160.04,175.6
D,+CIBOLS,1,CEMEX,CPO,383252,6325255.43,16.15
D,+CIBOLS,1B,NAFTRAC,ISHRS,22700,1131998.15,50.07
D,+CIBOLS,1,ALSEA,*,94933,6551427.59,64.35
D,+CIBOLS,1,AC,*,57308,7583807.33,128.53
D,+CIBOLS,1,ASUR,B,21116,7069734.4,353.59
R,+CIBOLS,BI,CETES,170928,2,19.95,9.976962
R,+CIBOLS,LD,BONDESD,191226,211,21064.4,99.850913
 ,+CIBOLS, ,TOTALES, ,932474,62060742.51, 
D,+CIUSD,CHD,NAFIN,3751401,1000000,17788000,17.678
D,+CIUSD,CHD,CIBANCO,593072,5919824.98,105398347.2,17.678
D,+CIUSD,91SP,PE&OLES,12D,1000,2103730.61,1752.246064
D,+CIUSD,1ISP,SHV,*,38864,76526931.5,1950.59052
D,+CIUSD,1ISP,FLOT,*,296500,311012300.9,899.10308
D,+CIUSD,CHD,NAFIN,3752102,1009281.86,17921817.99,17.678
D,+CIUSD,CHD,NAFIN,3752101,1000000,17788000,17.678
 ,+CIUSD, ,TOTALES, ,9265470.84,548539128.2, 
D,+CIEQUS,1ASP,NFLX,*,8300,24365450,3228.53314
D,+CIEQUS,1ASP,WFC,*,11800,11783000,906.70462
D,+CIEQUS,1ISP,IYE,*,15340,10573232,642.24174
D,+CIEQUS,1ISP,IYF,*,3500,6908500,1928.84658
D,+CIEQUS,1ISP,SHV,*,10000,19620800,1950.59052
D,+CIEQUS,1ASP,JPM,*,7700,12829665.6,1608.16766
D,+CIEQUS,1ASP,GS,*,2770,11684470,4010.2543
D,+CIEQUS,1ASP,GOOGL,*,1113,20006760,16619.61814
D,+CIEQUS,1ASP,FB,*,7265,19921249.58,3022.23088
D,+CIEQUS,1ASP,BAC,*,28940,12919855,428.51472
D,+CIEQUS,1ASP,AMZN,*,1110,20002772.75,17540.28838
D,+CIEQUS,1ASP,AAPL,*,11501,31790141.6,2798.07384
D,+CIEQUS,1ISP,XLV,*,4800,6895887,1470.10248
R,+CIEQUS,BI,CETES,170928,6,59.84,9.975295
R,+CIEQUS,LD,BONDESD,210121,132084,13164007.97,99.683511
 ,+CIEQUS, ,TOTALES, ,246229,222465851.3, 
D,+CIGUMP,BI,CETES,180621,2500000,23420337.5,9.474301
D,+CIGUMP,BI,CETES,180816,2462600,23001665,9.374524
D,+CIGUMP,IQ,BPAG91,191219,1000000,99635661.52,99.710331
D,+CIGUMP,IQ,BPAG91,211223,150000,14916535.39,99.428851
D,+CIGUMP,LD,BONDESD,180328,600000,59884110.6,99.96263
D,+CIGUMP,BI,CETES,180118,4700000,45355723.8,9.75976
D,+CIGUMP,BI,CETES,170928,5000000,48422895,9.974786
D,+CIGUMP,LD,BONDESD,190328,650000,64787828.95,99.812135
R,+CIGUMP,BI,CETES,170928,8,79.79,9.975712
R,+CIGUMP,LD,BONDESD,200130,211022,21035973.28,99.705767
R,+CIGUMP,LD,BONDESD,210121,1194508,119049338.6,99.683511
 ,+CIGUMP, ,TOTALES, ,18468138,519510149.4, 
D,+CIGULP,BI,CETES,180118,200000,1930030.8,9.75976
D,+CIGULP,BI,CETES,180621,1390300,13021922.4,9.474301
D,+CIGULP,IQ,BPAG91,211223,350000,34805249.23,99.428851
D,+CIGULP,BI,CETES,180816,3500000,32624907,9.374524
D,+CIGULP,IQ,BPAG91,191219,501900,50014515.88,99.710331
R,+CIGULP,BI,CETES,170928,4,39.89,9.974461
R,+CIGULP,LD,BONDESD,210121,1243550,123937056.1,99.683511
 ,+CIGULP, ,TOTALES, ,7185754,256333721.3, 
