I,Fondo,TV,Emisora,Serie,Títulos,Costo Total,Precio
D,+CIPLUS,93,GMFIN,3317,30000,2999930.39,100.000263
D,+CIPLUS,93,CHDRAUI,2017,14588,1458777.43,100.000265
D,+CIPLUS,91,NRF,17,50000,5002712.79,99.978639
D,+CIPLUS,91,DAIMLER,17-2,30000,3000000,99.999695
D,+CIPLUS,0,CASITA,*,3153,0,0.000001
D,+CIPLUS,93,PDN,117,40000,4000000,100.074879
D,+CIPLUS,BI,CETES,180118,100000,965015.4,9.792403
D,+CIPLUS,BI,CETES,180621,200000,1873253.6,9.508635
D,+CIPLUS,BI,CETES,180816,500000,4660261.5,9.407519
D,+CIPLUS,CD,NAFR,190417,12518,1251317.18,99.988662
D,+CIPLUS,IQ,BPAG91,191219,100000,9964473.73,99.733113
R,+CIPLUS,IM,BPAG28,181122,83174,8306096.62,99.922687
 ,+CIPLUS, ,TOTALES, ,1163433,43481838.64, 
D,+CIGUB,LD,BONDESD,180419,3000000,299783664.7,99.957879
D,+CIGUB,LD,BONDESD,171221,1000000,99970907.56,99.988725
D,+CIGUB,IS,BPA182,180104,500000,49997178.5,99.996663
D,+CIGUB,IQ,BPAG91,191219,1600000,159428554.4,99.733113
D,+CIGUB,BI,CETES,180816,4500000,41942353.5,9.407519
D,+CIGUB,LD,BONDESD,180614,2000000,199744944,99.94459
D,+CIGUB,LD,BONDESD,210520,455531,45280285.88,99.467704
D,+CIGUB,LD,BONDESD,191226,500000,49815403.5,99.685678
D,+CIGUB,LD,BONDESD,190627,101562,10118138.73,99.776339
D,+CIGUB,LD,BONDESD,190606,35088,3494328.62,99.784924
D,+CIGUB,LD,BONDESD,190328,1350000,134559337.1,99.81394
D,+CIGUB,LD,BONDESD,181011,1400000,139868281,99.902101
R,+CIGUB,IM,BPAG28,181122,14904265,1488401004,99.922686
 ,+CIGUB, ,TOTALES, ,31346446,2722404381, 
D,+CIBOLS,1,ALSEA,*,94933,6551427.59,66.97
D,+CIBOLS,1,ASUR,B,21116,7069734.4,346.59
D,+CIBOLS,1,CEMEX,CPO,371252,6127205.42,16.55
D,+CIBOLS,1,AC,*,57308,7583807.33,124.48
D,+CIBOLS,1B,NAFTRAC,ISHRS,7700,383981.75,50.3
D,+CIBOLS,1,RASSINI,CPO,76000,6586676,75.64
D,+CIBOLS,1,OMA,B,71026,7126472.75,100.89
D,+CIBOLS,1,MEXCHEM,*,131382,6400802.64,48.08
D,+CIBOLS,1,GAP,B,38844,7003323.83,186.4
D,+CIBOLS,1,FEMSA,UBD,35700,6260160.04,174.04
R,+CIBOLS,IM,BPAG28,181122,2950,294599.09,99.922685
 ,+CIBOLS, ,TOTALES, ,908211,61388190.84, 
D,+CIUSD,1ISP,FLOT,*,296500,311012300.9,927.760032
D,+CIUSD,1ISP,SHV,*,38864,76526931.5,2010.602056
D,+CIUSD,91SP,PE&OLES,12D,1000,2103730.61,1795.551239
D,+CIUSD,CHD,CIBANCO,593072,9263963.98,164897600.2,18.2128
D,+CIUSD,CHD,NAFIN,3752101,1000700,18160203.25,18.2128
D,+CIUSD,CHD,NAFIN,3752102,1009281.86,17921817.99,18.2128
D,+CIUSD,CHD,NAFIN,3752103,1000447.22,17829970.35,18.2128
 ,+CIUSD, ,TOTALES, ,12610757.06,608452554.8, 
D,+CIEQUS,1ASP,AAPL,*,11501,31790141.6,2806.956736
D,+CIEQUS,1ASP,AMZN,*,1110,20002772.75,17508.87528
D,+CIEQUS,1ASP,BAC,*,28940,12919855,461.512352
D,+CIEQUS,1ASP,FB,*,7265,19921249.58,3112.021136
D,+CIEQUS,1ASP,GOOGL,*,1113,20006760,17734.16762
D,+CIEQUS,1ASP,GS,*,2770,11684470,4319.894032
D,+CIEQUS,1ASP,JPM,*,7700,12829665.6,1739.504528
D,+CIEQUS,1ASP,NFLX,*,8300,24365450,3302.89128
D,+CIEQUS,1ASP,WFC,*,11800,11783000,1004.43592
D,+CIEQUS,1ISP,IYE,*,15340,10573232,681.705104
D,+CIEQUS,1ISP,IYF,*,3500,6908500,2042.019136
D,+CIEQUS,1ISP,SHV,*,10000,19620800,2010.602056
D,+CIEQUS,1ISP,XLV,*,4800,6895887,1488.532144
R,+CIEQUS,IM,BPAG28,181122,142184,14199077.13,99.922686
 ,+CIEQUS, ,TOTALES, ,256323,223500860.7, 
D,+CIGUMP,BI,CETES,180118,4700000,45355723.8,9.792403
D,+CIGUMP,BI,CETES,180621,2500000,23420337.5,9.508635
D,+CIGUMP,S,UDIBONO,220609,44826,24857828.79,556.002244
D,+CIGUMP,LD,BONDESD,190328,650000,64787828.95,99.81394
D,+CIGUMP,LD,BONDESD,180328,600000,59884110.6,99.965844
D,+CIGUMP,IQ,BPAG91,211223,150000,14916535.39,99.418674
D,+CIGUMP,IQ,BPAG91,191219,1000000,99635661.52,99.733113
D,+CIGUMP,BI,CETES,180816,2462600,23001665,9.407519
R,+CIGUMP,IM,BPAG28,181122,1478137,147612820.5,99.922686
 ,+CIGUMP, ,TOTALES, ,13585563,503472512.1, 
D,+CIGULP,S,UDIBONO,251204,15425,9889642.69,643.96509
D,+CIGULP,LD,BONDESD,191205,500000,49856879.5,99.698256
D,+CIGULP,BI,CETES,180118,200000,1930030.8,9.792403
D,+CIGULP,IQ,BPAG91,211223,350000,34805249.23,99.418674
D,+CIGULP,IQ,BPAG91,191219,501900,50014515.88,99.733113
D,+CIGULP,BI,CETES,180816,3500000,32624907,9.407519
D,+CIGULP,BI,CETES,180621,1390300,13021922.4,9.508635
R,+CIGULP,IM,BPAG28,181122,350870,35039316.61,99.922686
 ,+CIGULP, ,TOTALES, ,6808495,227182464.1, 
 , , ,TOTAL FINAL, ,6808495,227182464.1, 
