"TipoValor","Emisora","Serie","id","Moodys","SP","Fitch","HR","Calificacion"
"*CSP","CADUSD","V48","*CSP-CADUSD-V48","-","-","-","-","-"
"*CSP","JPYUSD","V48","*CSP-JPYUSD-V48","-","-","-","-","-"
"*CSP","MXPAED","V48","*CSP-MXPAED-V48","-","-","-","-","-"
"*CSP","MXPARS","V48","*CSP-MXPARS-V48","-","-","-","-","-"
"*CSP","MXPATS","V48","*CSP-MXPATS-V48","-","-","-","-","-"
"*CSP","MXPAUD","V48","*CSP-MXPAUD-V48","-","-","-","-","-"
"*CSP","MXPAWG","V48","*CSP-MXPAWG-V48","-","-","-","-","-"
"*CSP","MXPBBD","V48","*CSP-MXPBBD-V48","-","-","-","-","-"
"*CSP","MXPBDT","V48","*CSP-MXPBDT-V48","-","-","-","-","-"
"*CSP","MXPBEF","V48","*CSP-MXPBEF-V48","-","-","-","-","-"
"*CSP","MXPBGN","V48","*CSP-MXPBGN-V48","-","-","-","-","-"
"*CSP","MXPBMD","V48","*CSP-MXPBMD-V48","-","-","-","-","-"
"*CSP","MXPBOB","V48","*CSP-MXPBOB-V48","-","-","-","-","-"
"*CSP","MXPBRL","V48","*CSP-MXPBRL-V48","-","-","-","-","-"
"*CSP","MXPBSD","V48","*CSP-MXPBSD-V48","-","-","-","-","-"
"*CSP","MXPBZD","V48","*CSP-MXPBZD-V48","-","-","-","-","-"
"*CSP","MXPCAD","V48","*CSP-MXPCAD-V48","-","-","-","-","-"
"*CSP","MXPCHF","V48","*CSP-MXPCHF-V48","-","-","-","-","-"
"*CSP","MXPCLP","V48","*CSP-MXPCLP-V48","-","-","-","-","-"
"*CSP","MXPCNH","V48","*CSP-MXPCNH-V48","-","-","-","-","-"
"*CSP","MXPCNY","V48","*CSP-MXPCNY-V48","-","-","-","-","-"
"*CSP","MXPCOP","V48","*CSP-MXPCOP-V48","-","-","-","-","-"
"*CSP","MXPCRC","V48","*CSP-MXPCRC-V48","-","-","-","-","-"
"*CSP","MXPCZK","V48","*CSP-MXPCZK-V48","-","-","-","-","-"
"*CSP","MXPDEM","V48","*CSP-MXPDEM-V48","-","-","-","-","-"
"*CSP","MXPDKK","V48","*CSP-MXPDKK-V48","-","-","-","-","-"
"*CSP","MXPDOP","V48","*CSP-MXPDOP-V48","-","-","-","-","-"
"*CSP","MXPDZD","V48","*CSP-MXPDZD-V48","-","-","-","-","-"
"*CSP","MXPEGP","V48","*CSP-MXPEGP-V48","-","-","-","-","-"
"*CSP","MXPESP","V48","*CSP-MXPESP-V48","-","-","-","-","-"
"*CSP","MXPEUR","EUR","*CSP-MXPEUR-EUR","-","-","-","-","-"
"*CSP","MXPEUR","V48","*CSP-MXPEUR-V48","-","-","-","-","-"
"*CSP","MXPFIM","V48","*CSP-MXPFIM-V48","-","-","-","-","-"
"*CSP","MXPFJD","V48","*CSP-MXPFJD-V48","-","-","-","-","-"
"*CSP","MXPFRF","V48","*CSP-MXPFRF-V48","-","-","-","-","-"
"*CSP","MXPGBP","V48","*CSP-MXPGBP-V48","-","-","-","-","-"
"*CSP","MXPGRD","V48","*CSP-MXPGRD-V48","-","-","-","-","-"
"*CSP","MXPGTQ","V48","*CSP-MXPGTQ-V48","-","-","-","-","-"
"*CSP","MXPGYD","V48","*CSP-MXPGYD-V48","-","-","-","-","-"
"*CSP","MXPHKD","V48","*CSP-MXPHKD-V48","-","-","-","-","-"
"*CSP","MXPHNL","V48","*CSP-MXPHNL-V48","-","-","-","-","-"
"*CSP","MXPHTG","V48","*CSP-MXPHTG-V48","-","-","-","-","-"
