Fecha,Mercado,Instrumento,Precio
11/09/2017,MD,*CSP-CADUSD-V48,1.211001
11/09/2017,MD,*CSP-JPYUSD-V48,109.373425
11/09/2017,MD,*CSP-MXPAED-V48,4.810182
11/09/2017,MD,*CSP-MXPARS-V48,1.031694
11/09/2017,MD,*CSP-MXPATS-V48,1.535695
11/09/2017,MD,*CSP-MXPAUD-V48,14.18371
11/09/2017,MD,*CSP-MXPAWG-V48,9.842864
11/09/2017,MD,*CSP-MXPBBD-V48,8.824669
11/09/2017,MD,*CSP-MXPBDT-V48,0.215265
11/09/2017,MD,*CSP-MXPBEF-V48,0.523842
11/09/2017,MD,*CSP-MXPBGN-V48,10.804999
11/09/2017,MD,*CSP-MXPBMD-V48,17.6678
11/09/2017,MD,*CSP-MXPBOB-V48,2.536946
11/09/2017,MD,*CSP-MXPBRL-V48,5.703431
11/09/2017,MD,*CSP-MXPBSD-V48,17.6678
11/09/2017,MD,*CSP-MXPBZD-V48,8.765756
11/09/2017,MD,*CSP-MXPCAD-V48,14.589425
11/09/2017,MD,*CSP-MXPCHF-V48,18.506128
11/09/2017,MD,*CSP-MXPCLP-V48,0.028366
11/09/2017,MD,*CSP-MXPCNH-V48,2.702202
11/09/2017,MD,*CSP-MXPCNY-V48,2.705762
11/09/2017,MD,*CSP-MXPCOP-V48,0.006042
11/09/2017,MD,*CSP-MXPCRC-V48,0.030504
11/09/2017,MD,*CSP-MXPCZK-V48,0.80991
11/09/2017,MD,*CSP-MXPDEM-V48,10.804566
11/09/2017,MD,*CSP-MXPDKK-V48,2.840461
11/09/2017,MD,*CSP-MXPDOP-V48,0.370821
11/09/2017,MD,*CSP-MXPDZD-V48,0.159381
11/09/2017,MD,*CSP-MXPEGP-V48,1.001429
11/09/2017,MD,*CSP-MXPESP-V48,0.127005
11/09/2017,MD,*CSP-MXPEUR-EUR,21.13159
11/09/2017,MD,*CSP-MXPEUR-V48,21.13159
11/09/2017,MD,*CSP-MXPFIM-V48,3.55409
11/09/2017,MD,*CSP-MXPFJD-V48,35.357181
11/09/2017,MD,*CSP-MXPFRF-V48,3.221467
11/09/2017,MD,*CSP-MXPGBP-V48,23.274677
11/09/2017,MD,*CSP-MXPGRD-V48,0.062014
11/09/2017,MD,*CSP-MXPGTQ-V48,2.422733
11/09/2017,MD,*CSP-MXPGYD-V48,0.085733
11/09/2017,MD,*CSP-MXPHKD-V48,2.261002
11/09/2017,MD,*CSP-MXPHNL-V48,0.755529
11/09/2017,MD,*CSP-MXPHTG-V48,0.278763
11/09/2017,MD,*CSP-MXPHUF-V48,0.068957
11/09/2017,MD,*CSP-MXPIDR-V48,0.001343
11/09/2017,MD,*CSP-MXPILS-V48,5.014555
11/09/2017,MD,*CSP-MXPINR-V48,0.276342
11/09/2017,MD,*CSP-MXPIQD-V48,0.015142
11/09/2017,MD,*CSP-MXPISK-V48,0.165874
11/09/2017,MD,*CSP-MXPITL-V48,0.010919
11/09/2017,MD,*CSP-MXPJMD-V48,0.137765
11/09/2017,MD,*CSP-MXPJPY-V48,0.161537
11/09/2017,MD,*CSP-MXPKES-V48,0.171952
11/09/2017,MD,*CSP-MXPKRW-V48,0.015627
11/09/2017,MD,*CSP-MXPKWD-V48,58.628854
11/09/2017,MD,*CSP-MXPKYD-V48,21.416298
11/09/2017,MD,*CSP-MXPLTL-V48,6.190762
11/09/2017,MD,*CSP-MXPLUF-V48,0.523842
11/09/2017,MD,*CSP-MXPLVL-V48,34.762051
11/09/2017,MD,*CSP-MXPMAD-V48,1.892133
11/09/2017,MD,*CSP-MXPMYR-V48,4.209124
11/09/2017,MD,*CSP-MXPNGN-V48,0.057783
11/09/2017,MD,*CSP-MXPNIC-V48,0.589521
11/09/2017,MD,*CSP-MXPNIO-V48,0.582322
11/09/2017,MD,*CSP-MXPNLG-V48,9.589128
11/09/2017,MD,*CSP-MXPNOK-V48,2.251187
11/09/2017,MD,*CSP-MXPNZD-V48,12.803855
11/09/2017,MD,*CSP-MXPPEN-V48,5.469571
11/09/2017,MD,*CSP-MXPPHP-V48,0.346802
11/09/2017,MD,*CSP-MXPPKR-V48,0.167632
11/09/2017,MD,*CSP-MXPPLN-V48,4.977267
11/09/2017,MD,*CSP-MXPPTE-V48,0.105406
11/09/2017,MD,*CSP-MXPPYG-V48,0.003127
11/09/2017,MD,*CSP-MXPQAR-V48,4.762241
11/09/2017,MD,*CSP-MXPRON-V48,4.596976
11/09/2017,MD,*CSP-MXPRUB-V48,0.30909
11/09/2017,MD,*CSP-MXPSAR-V48,4.711164
11/09/2017,MD,*CSP-MXPSEK-V48,2.206161
11/09/2017,MD,*CSP-MXPSGD-V48,13.123713
11/09/2017,MD,*CSP-MXPSVC-V48,2.0245
11/09/2017,MD,*CSP-MXPTHB-V48,0.533444
11/09/2017,MD,*CSP-MXPTND-V48,7.206316
11/09/2017,MD,*CSP-MXPTRY-V48,5.185279
11/09/2017,MD,*CSP-MXPTTD-V48,2.603987
11/09/2017,MD,*CSP-MXPTWD-V48,0.588453
11/09/2017,MD,*CSP-MXPUAH-V48,0.678621
11/09/2017,MD,*CSP-MXPUSDC-VMD,17.6618
11/09/2017,MD,*CSP-MXPUSDS-V48,17.6678
11/09/2017,MD,*CSP-MXPUSDT-V24,17.6648
11/09/2017,MD,*CSP-MXPUVR-V48,1.521101
11/09/2017,MD,*CSP-MXPUYU-V48,0.614
11/09/2017,MD,*CSP-MXPVEB-V48,0.001767
11/09/2017,MD,*CSP-MXPVEF-V48,1.768998
