cigub,cigump,cigulp,ciplus,cibols,ciusd,ciequs,revision
96,96,96,71,0,1ISP,96,71
B,B,B,72,1,1B,1ASP,72
BI,BI,BI,73,3,1ISP,1B,73
IM,D1SP,D1SP,74,51,91SP,1ESP,74
IP,D2SP,D2SP,75,52,93SP,1ISP,75
IQ,IM,IM,90,53,99SP,B,90
IS,IP,IP,91,71,D1SP,BI,91
IT,IQ,IQ,92,72,D2SP,IM,92
L,IS,IS,93,73,D3SP,IP,93
L0,IT,IT,94,74,D4SP,IQ,94
LD,L,L,95,75,D5SP,IS,95
LS,L0,L0,96,90,D6SP,IT,96
M,LD,LD,97,91,,L,97
M0,LS,LS,99,92,,L0,99
M3,M,M,91SP,93,,LD,91SP
M5,M0,M0,93SP,94,,LS,93SP
M7,M3,M3,99SP,95,,M,99SP
S,M5,M5,B,96,,M0,B
S0,M7,M7,BI,97,,M3,BI
S3,S,S,D1SP,1A,,M5,D1SP
S5,S0,S0,D2SP,1B,,M7,D2SP
,S3,S3,D3SP,1E,,S,D3SP
,S5,S5,D4SP,1F,,S0,D4SP
,,,D5SP,1ISP,,S3,D5SP
,,,D6SP,1S,,S5,D6SP
,,,F,91SP,,,F
,,,I,93SP,,,I
,,,IM,99SP,,,IM
,,,IP,B,,,IP
,,,IQ,BI,,,IQ
,,,IS,D1SP,,,IS
,,,IT,D2SP,,,IT
,,,J,D3SP,,,J
,,,L,D4SP,,,L
,,,L0,D5SP,,,L0
,,,LD,D6SP,,,LD
,,,LS,F,,,LS
,,,M,I,,,M
,,,M0,IM,,,M0
,,,M3,IP,,,M3
,,,M5,IQ,,,M5
,,,M7,IS,,,M7
,,,S,IT,,,S
,,,S0,J,,,S0
,,,S3,L,,,S3
,,,S5,L0,,,S5
,,,,LD,,,
,,,,LS,,,
,,,,M,,,
,,,,M0,,,
,,,,M3,,,
,,,,M5,,,
,,,,M7,,,
,,,,S,,,
,,,,S0,,,
,,,,S3,,,
,,,,S5,,,
